Crime_Type,Latitude,Longitude,Date,Time,Weather,Population_Density
Theft,10.880507026986000,96.46057886457550,2024-03-03,16:37,Foggy,Medium
Burglary,10.644198862140100,74.76072812209680,2024-05-15,05:48,Foggy,High
Arson,36.04569445634580,74.11411524502020,2024-07-20,02:00,Rainy,Medium
Vandalism,20.226874775347300,88.80165819946140,2024-05-05,06:14,Cloudy,Medium
Vandalism,23.654811484304300,80.89732508063970,2024-02-10,07:48,Rainy,High
Homicide,22.750152963245700,87.75624694006130,2024-01-24,11:31,Clear,Medium
Arson,34.65151425351770,74.5876450148295,2024-08-03,01:17,Clear,High
Arson,26.416242149801300,93.6241964329392,2024-10-01,22:24,Cloudy,High
Assault,31.476556680790500,92.97793183638920,2024-04-13,16:04,Clear,Low
Robbery,29.04657336592830,74.42097178381970,2024-05-01,16:15,Stormy,Medium
Drug Offense,29.69107889242450,91.65233435083020,2024-08-05,08:51,Cloudy,High
Assault,29.4947838639819,90.81886906254270,2024-06-13,11:05,Clear,Medium
Arson,15.341304338879200,68.2108316440589,2024-09-30,15:13,Clear,Low
Homicide,31.880578941047900,69.48547914818660,2024-02-10,22:46,Cloudy,Low
Assault,13.799065344681300,69.35313282371730,2024-03-09,04:04,Rainy,Low
Arson,19.563391679940000,70.23907813460930,2024-03-21,07:48,Clear,High
Drug Offense,16.94983200652040,84.20445122858400,2024-07-21,18:13,Foggy,High
Arson,33.22445481117170,85.54653859164180,2024-01-19,04:29,Stormy,Low
Homicide,18.17896604156220,85.9147830992236,2024-02-14,03:41,Clear,Low
Assault,34.97507237952700,94.96472513864350,2024-08-31,00:27,Cloudy,Medium
Theft,9.775972726487100,82.77379456146090,2024-09-25,10:00,Clear,Low
Assault,26.0311375128465,89.46219750328350,2024-05-14,15:07,Rainy,Medium
Robbery,13.315850543174900,95.55951408885300,2024-05-11,16:26,Stormy,Medium
Burglary,32.360330758353400,86.03240305523010,2024-02-28,05:30,Cloudy,Low
Homicide,15.409805924759000,78.49910123540850,2024-12-08,18:26,Stormy,High
Homicide,22.37341017508460,86.98948780856330,2024-05-10,13:05,Cloudy,High
Assault,21.817325417287300,70.49140950464640,2024-06-23,13:12,Stormy,Medium
Assault,21.2338950347662,82.86277944923990,2024-08-06,20:48,Rainy,Medium
Homicide,34.58002701510420,68.60285863771710,2024-08-29,18:08,Rainy,Low
Theft,17.349901872603800,70.02045040207930,2024-09-23,03:50,Clear,High
Fraud,17.095859393135800,94.27513754144210,2024-12-14,09:47,Stormy,High
Homicide,21.668547091196200,86.70440227026500,2024-05-21,05:57,Stormy,Medium
Fraud,25.028149389468100,83.583459932108,2024-08-16,09:58,Foggy,Low
Drug Offense,28.89231809899380,85.8326827694165,2024-03-24,11:59,Stormy,Low
Fraud,17.011696054868800,85.82505195719720,2024-02-25,09:39,Stormy,Medium
Assault,29.177363764724100,85.93187641525540,2024-07-24,14:12,Stormy,Low
Theft,17.51644532477050,70.97985164041720,2024-07-17,03:51,Foggy,High
Robbery,8.540361498203350,89.29059181560200,2024-05-07,16:33,Foggy,Low
Fraud,36.20214241908720,81.76293851906190,2024-08-19,11:41,Foggy,Low
Drug Offense,18.42411594651920,87.7891143990661,2024-05-09,09:54,Foggy,High
Burglary,36.0982516061131,93.00156718100650,2024-01-18,13:54,Stormy,Low
Vandalism,16.3253643020611,71.68446873590180,2024-11-26,19:33,Rainy,Medium
Theft,14.561579574835000,71.30456612594780,2024-12-04,19:47,Rainy,Low
Arson,26.027671664822400,78.87595569708190,2024-05-23,07:58,Stormy,Medium
Vandalism,20.0041085823174,74.57909912361650,2024-05-09,00:22,Cloudy,Low
Vandalism,20.249078845030800,73.93229487965380,2024-02-10,06:52,Stormy,High
Homicide,35.983516775901700,87.5876367793368,2024-08-10,19:41,Stormy,Medium
Homicide,8.35545463154282,84.65168829758290,2024-05-04,00:08,Clear,Medium
Theft,14.356271914324200,90.26861062937470,2024-07-21,03:46,Rainy,High
Arson,34.952293304555900,93.62040499322270,2024-05-30,23:15,Clear,Medium
Fraud,9.322314798009680,78.54244493323790,2024-10-01,18:24,Clear,Medium
Drug Offense,16.933752272278200,94.25462892223890,2024-04-25,00:02,Rainy,Low
Vandalism,8.329241530124530,90.00903859651680,2024-11-28,15:47,Cloudy,High
Vandalism,22.169676653553300,79.7040401915147,2024-09-12,06:55,Clear,High
Theft,35.09354774144240,79.91005745127300,2024-09-21,13:26,Foggy,Low
Vandalism,11.52440738189650,83.68961383373010,2024-12-14,15:31,Stormy,High
Burglary,36.31635754959790,75.3984921330727,2024-12-30,08:06,Rainy,Medium
Robbery,12.58092965933320,69.86770233467410,2024-02-14,15:16,Stormy,Medium
Burglary,35.52580450373420,71.16982998078250,2024-03-29,22:19,Cloudy,Medium
Homicide,29.207453148020400,83.63452640504940,2024-05-15,10:47,Cloudy,Medium
Burglary,14.089168484615300,86.15869611733560,2024-12-16,17:57,Rainy,Low
Drug Offense,35.11551897807620,81.61544811045700,2024-02-27,17:29,Rainy,Low
Assault,15.908441298780600,79.75661410756980,2024-08-15,07:17,Clear,Low
Drug Offense,28.487126855299800,91.89565863250020,2024-06-28,18:56,Rainy,High
Assault,23.963185621578500,92.49295631366440,2024-11-15,20:26,Stormy,High
Theft,23.33361810077000,71.4643439623846,2024-01-18,23:47,Cloudy,Medium
Vandalism,10.005976896309800,80.22654287041360,2024-05-08,06:41,Clear,High
Homicide,11.091936462575000,90.70325938935440,2024-03-28,02:32,Clear,Low
Fraud,27.08779522113290,69.17095246266470,2024-06-09,17:38,Foggy,High
Drug Offense,16.21503537727310,72.66789278546440,2024-02-12,02:06,Foggy,Low
Fraud,22.979285178016300,81.49342018679290,2024-03-13,19:16,Foggy,Medium
Fraud,9.396497378153590,69.87800333075360,2024-05-28,02:09,Cloudy,High
Assault,32.85242822693170,84.86544523684380,2024-06-02,21:35,Clear,High
Burglary,8.570510953066630,85.92979567651880,2024-06-30,04:13,Cloudy,High
Arson,25.479040639749200,71.17602700481190,2024-11-01,18:45,Foggy,Low
Robbery,12.100706143074900,86.46374496383380,2024-08-29,15:36,Rainy,Low
Theft,29.177363764724100,85.93187641525540,2024-05-13,19:17,Rainy,Low
Arson,10.645035327338400,70.53524656020110,2024-03-22,19:14,Foggy,Low
Arson,34.050461336843400,69.30799078098530,2024-07-10,23:32,Stormy,High
Homicide,25.2143606309797,84.86146219766210,2024-08-31,02:41,Stormy,Low
Theft,29.079904972477900,82.99169049613880,2024-10-13,00:33,Cloudy,Medium
Assault,28.84542010548860,87.93698711182350,2024-10-12,14:53,Rainy,Low
Robbery,33.818275342736300,85.07653781070850,2024-01-20,03:42,Stormy,Medium
Assault,35.11570146409810,88.09393567204310,2024-01-15,04:43,Foggy,Low
Arson,30.417016057214900,71.90360652346680,2024-02-03,23:52,Cloudy,Low
Arson,34.57618219813710,90.03492457955770,2024-12-26,21:13,Cloudy,Medium
Burglary,21.158151006576400,81.17316179353430,2024-01-31,15:36,Stormy,Low
Burglary,12.252633928771000,96.60937172839590,2024-04-13,20:40,Foggy,Low
Arson,22.169676653553300,79.7040401915147,2024-12-03,22:26,Rainy,Medium
Vandalism,34.97507237952700,94.96472513864350,2024-03-15,11:00,Stormy,High
Theft,31.16618776695000,71.0968957152759,2024-09-19,11:00,Stormy,High
Theft,24.078577762739000,87.3650865196054,2024-01-12,20:53,Clear,Low
Theft,10.607146652777800,86.77734824733280,2024-05-05,08:16,Clear,Low
Fraud,21.238866044500700,74.98648586212720,2024-04-08,05:27,Cloudy,Low
Burglary,16.999220440381100,85.15832976691990,2024-08-12,04:56,Foggy,Medium
Drug Offense,34.04920014757830,72.18458856222350,2024-02-27,21:12,Rainy,Medium
Fraud,19.450517782380900,89.67754914549110,2024-07-20,09:39,Cloudy,Medium
Vandalism,12.939686072993000,68.35403070185550,2024-11-25,13:24,Foggy,High
Vandalism,36.540218062390200,81.77352312734330,2024-04-13,19:30,Rainy,Medium
Homicide,9.478238210151560,84.74281294804710,2024-01-12,06:18,Foggy,Medium
Fraud,9.478238210151560,84.74281294804710,2024-05-09,03:39,Stormy,Low
Burglary,27.09733261623680,74.40016917939180,2024-10-16,05:40,Rainy,High
Burglary,24.19330758791510,74.51129586576980,2024-07-15,02:16,Stormy,Medium
Vandalism,35.588570569314000,69.97889846441080,2024-08-16,10:30,Stormy,High
Burglary,11.066447203687700,68.58488302895770,2024-12-17,00:14,Clear,Medium
Arson,23.726979507983900,87.32108980304780,2024-05-20,23:05,Clear,Low
Assault,30.082270181476600,81.94066137016390,2024-04-01,21:50,Cloudy,Medium
Vandalism,18.923473227362600,72.91595147200250,2024-12-21,12:06,Rainy,High
Theft,30.64513023337740,68.78799309451030,2024-08-17,05:16,Foggy,High
Vandalism,9.96359591557335,96.76426308680720,2024-05-02,18:42,Rainy,High
Assault,33.403453928016600,69.29480398774180,2024-12-07,20:49,Foggy,Medium
Arson,10.189147240012100,88.37863946632850,2024-02-22,10:36,Foggy,Medium
Drug Offense,12.212777003083200,77.67907964897430,2024-07-19,00:44,Clear,Low
Robbery,25.80395727429020,90.02882300225320,2024-07-23,14:02,Clear,High
Homicide,34.150850298523700,89.22366849896910,2024-04-04,14:20,Rainy,High
Robbery,11.86284483695830,72.91097696646550,2024-07-18,21:57,Stormy,High
Burglary,13.735521692483700,83.90901708055060,2024-11-29,13:04,Clear,High
Burglary,20.376955493146800,75.38540649822700,2024-09-07,16:11,Clear,Low
Burglary,23.79423454825960,84.09198228469390,2024-05-30,06:45,Stormy,High
Vandalism,18.779840944920200,94.55775127977700,2024-12-23,17:04,Rainy,Low
Vandalism,21.144451661544700,88.77933769111580,2024-01-14,15:05,Foggy,High
Vandalism,11.249372159945400,79.83495478703690,2024-09-28,18:24,Stormy,Low
Homicide,21.187653902906400,68.9672898684544,2024-09-29,13:58,Foggy,Low
Theft,11.170916232701800,90.32721321594610,2024-09-30,03:47,Foggy,Low
Robbery,35.70973965289130,84.20569559858040,2024-01-26,21:13,Rainy,Medium
Assault,17.61321233366430,79.49469287072400,2024-05-19,05:02,Clear,Medium
Drug Offense,20.253223590875000,83.83546101666000,2024-06-17,23:31,Stormy,Medium
Robbery,15.389243450711500,96.67915019808020,2024-10-08,18:11,Cloudy,Medium
Theft,27.00064416003950,93.60148271323140,2024-10-15,13:03,Stormy,Low
Drug Offense,34.27978833847240,76.64168229108,2024-01-19,04:48,Foggy,High
Fraud,32.18151194917800,90.53085339606980,2024-05-17,13:11,Foggy,Medium
Robbery,32.910100076835400,74.62812098000410,2024-04-01,11:44,Clear,Low
Burglary,26.19441158496560,93.74309954473210,2024-01-19,20:48,Clear,High
Vandalism,33.914946328605600,74.35802066003030,2024-09-09,00:40,Stormy,High
Theft,23.89839883114460,94.73567907682310,2024-08-18,22:04,Cloudy,Low
Robbery,22.416191608830800,82.84997451017690,2024-12-21,03:30,Clear,Medium
Robbery,32.84694203305210,83.19471355773550,2024-03-14,20:10,Foggy,Low
Drug Offense,8.212498329797280,82.907401794563,2024-04-22,21:56,Rainy,Medium
Burglary,27.096396035668200,90.14963970816510,2024-06-17,06:49,Clear,High
Homicide,15.908441298780600,79.75661410756980,2024-12-07,12:58,Rainy,High
Homicide,23.61723514701600,74.52355818554170,2024-09-21,19:29,Clear,Medium
Homicide,24.49512296635680,70.4679056280933,2024-06-04,13:07,Rainy,Medium
Fraud,8.19645756234639,70.77116578705040,2024-12-08,00:12,Rainy,Medium
Assault,16.94983200652040,84.20445122858400,2024-07-11,05:04,Foggy,Low
Arson,26.0311375128465,89.46219750328350,2024-04-23,15:30,Foggy,Medium
Robbery,11.214509761306300,86.8628911445068,2024-09-05,10:31,Stormy,Low
Vandalism,34.16384078545330,70.58827103188450,2024-10-05,05:16,Cloudy,Low
Assault,23.031076962638600,90.50087462731740,2024-10-01,19:57,Foggy,Low
Homicide,27.989118660674200,80.18639217955050,2024-11-04,15:30,Clear,High
Fraud,34.16384078545330,70.58827103188450,2024-10-28,05:37,Foggy,High
Arson,11.730978191493900,73.75351302928630,2024-06-20,23:21,Cloudy,Low
Homicide,24.94764092702840,78.17017896466680,2024-10-09,08:53,Rainy,High
Burglary,10.887607568501600,81.67719337203100,2024-08-25,08:36,Cloudy,Low
Vandalism,13.093663408134600,81.61243670844530,2024-01-23,16:26,Rainy,Medium
Assault,26.0311375128465,89.46219750328350,2024-12-03,18:37,Rainy,Medium
Robbery,15.263692318434700,74.66670396428420,2024-02-13,14:07,Cloudy,High
Assault,34.77964824507460,93.18941538935870,2024-06-29,23:04,Foggy,Medium
Arson,29.571181911214400,73.60423683103180,2024-11-02,11:48,Cloudy,High
Homicide,33.85353001085840,80.48878474576380,2024-09-09,19:01,Foggy,High
Fraud,21.933037542991800,91.77217214216810,2024-02-19,10:08,Stormy,Medium
Homicide,12.74794168497000,92.1364923179435,2024-02-26,08:25,Stormy,Medium
Arson,29.412484041748500,83.23922470400870,2024-10-06,03:28,Foggy,High
Assault,16.091496377197000,87.79083692465930,2024-02-11,03:59,Rainy,Medium
Robbery,14.233124317160600,93.36624563098370,2024-03-28,18:50,Rainy,High
Assault,23.938722912964300,93.58509680510600,2024-06-28,14:36,Clear,Low
Theft,33.31032739076580,95.66233322461670,2024-11-11,16:58,Rainy,Low
Burglary,8.392491236683410,93.5889751572433,2024-11-19,13:02,Foggy,Medium
Burglary,27.30522797630210,88.5687197816946,2024-08-26,00:08,Stormy,Low
Fraud,18.564427039377600,93.08802018257920,2024-05-04,19:05,Stormy,High
Arson,34.16384078545330,70.58827103188450,2024-02-24,01:53,Stormy,Low
Theft,33.403453928016600,69.29480398774180,2024-01-23,14:28,Stormy,Medium
Drug Offense,34.80682799823020,80.27361970099200,2024-01-21,12:22,Cloudy,High
Robbery,23.33361810077000,71.4643439623846,2024-03-01,12:59,Rainy,Medium
Drug Offense,16.617004093089800,93.37189992022310,2024-11-23,12:06,Cloudy,Medium
Robbery,29.469195144920200,78.51197061604470,2024-10-09,00:39,Foggy,Medium
Homicide,34.870876255536900,88.46649973409280,2024-01-10,13:19,Foggy,Low
Burglary,15.263692318434700,74.66670396428420,2024-01-15,00:43,Clear,Low
Drug Offense,19.00808834126030,74.4509357873854,2024-06-20,02:02,Foggy,Low
Drug Offense,30.214453075855900,76.52820561471920,2024-01-27,00:45,Clear,High
Arson,20.113701600211700,69.28257473081110,2024-04-24,09:37,Cloudy,Medium
Robbery,13.879136242762400,90.65012831270030,2024-06-02,14:53,Clear,Low
Burglary,15.186434953892600,81.60233271801290,2024-10-27,05:21,Foggy,High
Robbery,22.416191608830800,82.84997451017690,2024-02-22,07:18,Foggy,Medium
Robbery,14.23889795541900,96.38412849661640,2024-09-23,11:17,Cloudy,Low
Burglary,14.300504072618800,81.83926187828390,2024-03-12,13:29,Clear,Medium
Fraud,24.66300216612600,84.98979275749910,2024-08-26,14:58,Rainy,Low
Homicide,16.85764859519780,87.40822046202880,2024-09-01,12:28,Cloudy,Medium
Theft,32.770431236438900,88.59990388937730,2024-11-11,11:20,Stormy,Low
Drug Offense,32.94803666454930,68.7244000223496,2024-10-29,17:52,Clear,Low
Robbery,19.53277561118810,85.6113379699311,2024-12-27,19:39,Stormy,Low
Assault,11.86284483695830,72.91097696646550,2024-05-07,03:47,Clear,Low
Vandalism,13.872488888103000,95.07349365356250,2024-07-29,18:04,Clear,High
Drug Offense,23.283364685793400,72.1961689786692,2024-10-22,00:01,Rainy,Low
Burglary,35.097534765382300,75.42319086418080,2024-04-01,09:56,Clear,High
Fraud,19.563391679940000,70.23907813460930,2024-02-04,16:59,Foggy,Medium
Arson,36.88067898306050,68.54346626596800,2024-04-28,08:59,Rainy,Medium
Vandalism,21.55093226892330,70.22494278289050,2024-09-10,09:24,Cloudy,Medium
Arson,36.71271612794010,70.17872132410030,2024-08-11,10:26,Stormy,Low
Burglary,16.22007181539930,71.42905216271540,2024-04-26,10:22,Cloudy,Medium
Vandalism,9.111152845795690,78.31519488720100,2024-07-14,06:45,Rainy,Low
Arson,26.416242149801300,93.6241964329392,2024-04-12,19:59,Cloudy,Low
Arson,11.86284483695830,72.91097696646550,2024-02-20,17:41,Stormy,Low
Homicide,29.571181911214400,73.60423683103180,2024-10-02,19:01,Clear,Medium
Assault,13.564818025871000,88.3178555952608,2024-11-24,06:47,Stormy,Low
Arson,21.97487194789720,86.56953993881670,2024-12-22,13:09,Clear,High
Vandalism,9.367586390214140,83.67237138689920,2024-10-02,23:26,Clear,Low
Assault,35.09354774144240,79.91005745127300,2024-10-01,05:22,Rainy,Low
Assault,21.41982286151990,93.73885480479080,2024-12-02,00:03,Rainy,Low
Homicide,36.23184018042150,69.35919417357250,2024-12-03,10:59,Rainy,Medium
Arson,16.3253643020611,71.68446873590180,2024-06-13,04:39,Cloudy,High
Burglary,26.6917346693839,77.2798645104011,2024-11-04,11:01,Rainy,Low
Fraud,9.756539673346500,81.96680168499630,2024-03-17,00:35,Stormy,High
Arson,23.938722912964300,93.58509680510600,2024-06-10,03:07,Foggy,High
Assault,18.17896604156220,85.9147830992236,2024-09-24,09:19,Foggy,Low
Fraud,23.361130372449300,83.78182252291830,2024-08-28,01:12,Foggy,Medium
Theft,28.010673942385100,86.52162013212860,2024-02-10,18:43,Rainy,High
Homicide,25.324209456939000,91.09964333367040,2024-01-18,00:42,Cloudy,High
Assault,18.420794291997200,88.44298036157800,2024-01-08,06:15,Cloudy,Medium
Burglary,20.386888332299200,82.99369244695200,2024-06-02,16:22,Rainy,Low
Arson,17.83324060824080,96.04236858656210,2024-12-16,07:59,Clear,High
Fraud,16.776488250831700,77.96244642987780,2024-11-01,18:09,Foggy,High
Arson,36.228876080556400,92.88018315911540,2024-02-09,02:03,Stormy,Medium
Burglary,13.104447810442600,80.02413088743470,2024-01-26,12:53,Foggy,High
Theft,34.669051900987600,90.29764067548640,2024-09-21,06:04,Foggy,High
Assault,23.556023279536900,96.12066301626870,2024-03-21,19:49,Rainy,Medium
Drug Offense,34.04920014757830,72.18458856222350,2024-02-26,17:26,Foggy,High
Fraud,28.62533165080940,76.47065463477660,2024-09-27,03:26,Clear,High
Homicide,32.79783543583540,77.35134023684070,2024-07-03,19:59,Clear,High
Fraud,22.41589165989710,71.8453274299865,2024-12-12,08:33,Foggy,Medium
Arson,33.80620834670990,94.64588196014840,2024-03-26,06:45,Clear,Low
Robbery,10.555588954651400,93.67055700625980,2024-09-27,21:49,Cloudy,Low
Robbery,19.875949425156900,87.69015954870220,2024-06-15,01:23,Cloudy,Low
Drug Offense,22.307631271959600,83.39385607901590,2024-09-04,09:14,Clear,High
Arson,10.52441301183060,68.75393463614960,2024-03-25,14:41,Cloudy,Medium
Assault,23.60586625766190,86.633697555867,2024-03-12,23:01,Stormy,High
Vandalism,15.341304338879200,68.2108316440589,2024-08-27,02:16,Foggy,Low
Drug Offense,34.04920014757830,72.18458856222350,2024-03-07,06:53,Rainy,High
Vandalism,11.091936462575000,90.70325938935440,2024-11-02,05:11,Clear,Low
Assault,29.4947838639819,90.81886906254270,2024-05-22,11:54,Clear,Medium
Theft,10.455667305052600,91.49235034487740,2024-08-13,09:30,Cloudy,Medium
Homicide,10.555588954651400,93.67055700625980,2024-07-12,20:30,Clear,Medium
Drug Offense,36.12294619066330,68.80113073297710,2024-03-26,01:57,Cloudy,Low
Robbery,9.126408932170310,77.4414109460742,2024-09-21,12:59,Cloudy,Low
Robbery,34.16384078545330,70.58827103188450,2024-11-18,05:23,Clear,Low
Theft,10.678021425717700,70.56376832905970,2024-07-06,11:39,Stormy,High
Drug Offense,13.916407289235700,75.73746238560840,2024-04-28,17:34,Cloudy,Medium
Drug Offense,33.160662808475400,77.25727003666880,2024-08-29,15:10,Foggy,Low
Theft,11.74939439050380,73.64461419613030,2024-12-12,14:49,Rainy,Low
Assault,24.19330758791510,74.51129586576980,2024-10-23,18:48,Cloudy,High
Burglary,9.494199554350000,86.99612985536950,2024-12-08,08:42,Rainy,High
Homicide,20.41830645398310,68.88379912761160,2024-03-07,12:23,Stormy,Low
Theft,13.070170178524600,82.66012511065400,2024-10-18,13:33,Foggy,High
Burglary,31.05629173474660,69.23682734852110,2024-01-12,01:33,Foggy,Medium
Drug Offense,30.061521065593200,71.37704476149970,2024-05-04,17:16,Rainy,High
Assault,21.374043978088700,89.20154697444570,2024-09-07,02:03,Clear,Low
Fraud,19.348477780184500,68.99248894256080,2024-08-05,13:08,Clear,High
Assault,13.991234838277500,96.38518963737550,2024-02-19,14:46,Clear,Low
Fraud,18.564427039377600,93.08802018257920,2024-10-25,08:13,Foggy,High
Robbery,9.396497378153590,69.87800333075360,2024-03-09,15:01,Foggy,Low
